signal_id,bar_index,datetime,open,high,low,close,volume,ma20
S001,-10,2022-01-03 10:40:00+05:30,150.95,150.95,150.85,150.95,20729,151.09750000000005
S001,-9,2022-01-03 10:45:00+05:30,150.9,150.95,150.8,150.95,23622,151.1575
S001,-8,2022-01-03 10:50:00+05:30,150.95,151.0,150.85,150.95,114625,151.21499999999995
S001,-7,2022-01-03 10:55:00+05:30,150.85,151.0,150.85,150.95,63373,151.2025
S001,-6,2022-01-03 11:00:00+05:30,150.95,150.95,150.55,150.7,160452,151.1775
S001,-5,2022-01-03 11:05:00+05:30,150.7,150.95,150.25,150.45,310349,151.1225
S001,-4,2022-01-03 11:10:00+05:30,150.4,150.65,150.3,150.6,50456,151.095
S001,-3,2022-01-03 11:15:00+05:30,150.6,150.85,150.45,150.7,45970,151.0725
S001,-2,2022-01-03 11:20:00+05:30,150.8,151.1,150.7,150.95,89359,151.07
S001,-1,2022-01-03 11:25:00+05:30,150.95,151.0,150.7,150.8,36574,151.04500000000002
S001,0,2022-01-03 11:30:00+05:30,150.8,150.9,150.7,150.85,21544,151.01749999999998
S001,1,2022-01-03 11:35:00+05:30,150.85,150.95,150.7,150.85,28574,150.99499999999998
S001,2,2022-01-03 11:40:00+05:30,150.85,151.0,150.85,150.95,19043,150.97750000000002
S001,3,2022-01-03 11:45:00+05:30,151.0,151.0,150.5,150.55,125234,150.93749999999997
S001,4,2022-01-03 11:50:00+05:30,150.55,150.6,150.4,150.5,19873,150.89
S001,5,2022-01-03 11:55:00+05:30,150.5,150.55,150.4,150.55,52608,150.8525
S001,6,2022-01-03 12:00:00+05:30,150.55,150.55,150.5,150.55,26390,150.815
S001,7,2022-01-03 12:05:00+05:30,150.55,150.7,150.4,150.55,437741,150.775
S001,8,2022-01-03 12:10:00+05:30,150.65,150.7,150.55,150.7,12960,150.7475
S001,9,2022-01-03 12:15:00+05:30,150.7,150.85,150.65,150.85,9535,150.745
S001,10,2022-01-03 12:20:00+05:30,150.9,151.0,150.75,150.85,32425,150.73999999999998
S001,11,2022-01-03 12:25:00+05:30,150.95,150.95,150.85,150.9,14385,150.7375
S001,12,2022-01-03 12:30:00+05:30,150.9,151.0,150.8,150.85,16043,150.73250000000002
S001,13,2022-01-03 12:35:00+05:30,150.85,150.85,150.65,150.7,9938,150.71999999999997
S001,14,2022-01-03 12:40:00+05:30,150.7,150.95,150.65,150.8,27423,150.725
S001,15,2022-01-03 12:45:00+05:30,150.8,150.85,150.55,150.55,186946,150.73000000000002
S001,16,2022-01-03 12:50:00+05:30,150.55,150.9,150.55,150.85,107769,150.7425
S001,17,2022-01-03 12:55:00+05:30,150.9,150.9,150.75,150.85,4254,150.75
S001,18,2022-01-03 13:00:00+05:30,150.85,150.9,150.75,150.85,9972,150.745
S001,19,2022-01-03 13:05:00+05:30,150.85,150.85,150.75,150.85,8138,150.7475
S001,20,2022-01-03 13:10:00+05:30,150.85,150.9,150.65,150.75,42860,150.7425
S001,21,2022-01-03 13:15:00+05:30,150.75,150.85,150.5,150.7,409109,150.735
S001,22,2022-01-03 13:20:00+05:30,150.7,150.75,150.55,150.7,4766,150.7225
S001,23,2022-01-03 13:25:00+05:30,150.7,150.7,150.5,150.6,40713,150.725
S001,24,2022-01-03 13:30:00+05:30,150.65,150.85,150.55,150.85,41608,150.7425
S001,25,2022-01-03 13:35:00+05:30,150.85,150.95,150.55,150.55,150186,150.7425
S001,26,2022-01-03 13:40:00+05:30,150.55,150.7,150.55,150.7,106097,150.75
S001,27,2022-01-03 13:45:00+05:30,150.6,150.8,150.6,150.7,14838,150.7575
S001,28,2022-01-03 13:50:00+05:30,150.7,150.75,150.65,150.65,14657,150.755
S001,29,2022-01-03 13:55:00+05:30,150.7,150.7,150.25,150.45,124115,150.735
S001,30,2022-01-03 14:00:00+05:30,150.45,150.5,150.3,150.4,52784,150.7125
S001,31,2022-01-03 14:05:00+05:30,150.4,150.45,150.1,150.35,277968,150.685
S001,32,2022-01-03 14:10:00+05:30,150.35,150.4,150.2,150.25,65916,150.655
S001,33,2022-01-03 14:15:00+05:30,150.25,150.25,150.2,150.2,42821,150.63
S001,34,2022-01-03 14:20:00+05:30,150.25,150.25,150.2,150.25,11357,150.6025
S002,-10,2022-01-03 11:45:00+05:30,151.0,151.0,150.5,150.55,125234,150.93749999999997
S002,-9,2022-01-03 11:50:00+05:30,150.55,150.6,150.4,150.5,19873,150.89
S002,-8,2022-01-03 11:55:00+05:30,150.5,150.55,150.4,150.55,52608,150.8525
S002,-7,2022-01-03 12:00:00+05:30,150.55,150.55,150.5,150.55,26390,150.815
S002,-6,2022-01-03 12:05:00+05:30,150.55,150.7,150.4,150.55,437741,150.775
